INCIDENT INFO,START_DT,QUADRANT
 Southland Drive south of 90 Avenue SW ,9/12/2023 19:10,SW
 Westbound Memorial Drive approaching 9 Street NE ,9/12/2023 17:46,NE
 Northbound Blackfoot Trail after Ogden Road SE ,9/12/2023 16:29,SE
 4 Avenue at 7 Street SW ,9/12/2023 16:22,SW
 Shawnessy Boulevard and Shawville Boulevard SE ,9/12/2023 14:21,SE
 Northbound Deerfoot Trail at 64 Avenue NE ,9/12/2023 13:58,NE
 37 Street and 25 Avenue SW ,9/12/2023 12:42,SW
 Carrington Boulevard and Carringsby Landing NW ,9/12/2023 11:28,NW
 Eastbound Country Hills Boulevard and Barlow Trail NE ,9/12/2023 11:18,NE
 Westbound 32 Avenue and 12 Street NE ,9/12/2023 11:10,NE
 2 Street and 40 Avenue NW ,9/12/2023 10:58,NW
 Northbound Deerfoot Trail over Calf Robe Bridge SE ,9/12/2023 8:36,SE
 Eastbound Peigan Trail and Barlow Trail SE ,9/12/2023 8:02,SE
 Eastbound 16 Avenue approaching 19 Street NE ,9/12/2023 7:27,NE
 Eastbound Stoney Trail to Southbound Beddington Trail NW ,9/11/2023 20:58,NW
 52 Street and Market Street SE ,9/11/2023 18:32,SE
 McKnight Boulevard and 4 Street NW ,9/11/2023 18:30,NW
 Eastbound Country Hills Boulevard after Metis Trail NE ,9/11/2023 17:08,NE
 Southbound Stoney Trail at 16 Avenue NE ,9/11/2023 16:40,NE
 Eastbound McKnight Boulevard after 68 Street NE ,9/11/2023 16:35,NE
 Eastbound Country Hills Boulevard approaching Country Hills Drive NW ,9/11/2023 16:01,NW
 Eastbound 16 Avenue after 8 Street NW ,9/11/2023 15:19,NW
 Westbound Airport Trail approaching 60 Street NE ,9/11/2023 14:46,NE
 Sunpark Gate and Sunpark Pz SE ,9/11/2023 14:07,SE
 Anderson b/w Acadia Drive and Bonaventure Drive SE ,9/11/2023 12:57,SE
 Anderson Road and Bonaventure Drive SE ,9/11/2023 12:57,SE
 Northbound Deerfoot Trail north of Peigan Trail SE ,9/11/2023 11:35,SE
 90 Avenue and Tsuut'ina Trail SW ,9/11/2023 11:01,SW
 37 Avenue and 68 Street NE ,9/11/2023 10:59,NE
 148 Avenue and 1 Street NW ,9/11/2023 10:58,NW
 McKnight Boulevard and Centre Street N ,9/11/2023 9:06,NW
 5 Street and 5 Avenue SW ,9/11/2023 8:34,SW
 Westbound 64 Avenue and Deerfoot Trail NE ,9/11/2023 8:24,NE
 Southbound Shaganappi Trail north of John Laurie Boulevard   NW ,9/11/2023 8:10,NW
 Northbound Chaparral Boulevard ramp onto Eastbound Stoney Trail SE ,9/11/2023 7:47,SE
 Eastbound McKnight Boulevard and Stoney Trail NE ,9/11/2023 7:36,NE
 68 Street and Abbeydale Drive NE ,9/11/2023 1:22,NE
 Northbound 52 Street at 44 Avenue NE  ,9/11/2023 1:18,NE
 Westbound John Laurie Boulevard approaching Shaganappi Trail NW ,9/10/2023 23:25,NW
 Cornerstone Boulevard and Country Hills Boulevard NE ,9/10/2023 19:46,NW
 60 Street and Cornerstone Avenue NE ,9/10/2023 18:22,NE
 68 Street and Mcknight Boulevard NE ,9/10/2023 18:21,NE
 Heritage Meadows Wy and 11 Street SE ,9/10/2023 17:59,SE
 85 Street and Royal Vista Drive NW ,9/10/2023 17:48,NW
 Southbound Harvest Hills Boulevard after Panamount Boulevard NW ,9/10/2023 17:06,NW
 Deerfoot Trail and Stoney Trail SE ,9/10/2023 16:49,SE
 Deerfoot Trail and Stoney Trail SE ,9/10/2023 16:49,SE
 Deerfoot Trail and Stoney Trail SE ,9/10/2023 16:49,SE
 Eastbound Stoney Trail at Westhills Wy SW ,9/10/2023 16:03,SW
 Northbound Deerfoot Trail after 130 Avenue SE ,9/10/2023 15:58,SE
 Northbound Deerfoot Trail after 130 Avenue SE ,9/10/2023 15:58,SE
 Eastbound Anderson Road approaching Acadia Drive SE ,9/10/2023 15:20,SE
 Eastbound Memorial Drive at Deerfoot Trail SE ,9/10/2023 14:13,SE
 Belmont Drive and 210 Avenue SW ,9/10/2023 14:00,SW
 Beddington Trail and Beddington Boulevard NE ,9/9/2023 23:18,NE
 Westbound 210 Avenue west of Macleod Trail SW ,9/9/2023 23:12,SW
 Eastbound Glenmore Trail at Fisher Street SE ,9/9/2023 21:51,SE
 Southbound Macleod Trail and 75 Avenue SW ,9/9/2023 21:41,SW
 Northbound 52 Street and Glenmore Trail SE ,9/9/2023 21:25,SE
 Westbound Stoney Trail NW and Sarcee Trail NW ,9/9/2023 20:56,NW
 Northbound  Crowchild Trail approaching 17 Avenue SW ,9/9/2023 19:45,SW
 23 Street at 32 Avenue NE ,9/9/2023 19:40,NE
 36 Street and 80 Avenue NE ,9/9/2023 18:58,NE
 20 Avenue and 34 Street NE ,9/9/2023 18:07,NE
 Northbound Metis Trail between 64 Avenue and 80 Avenue NE ,9/9/2023 15:36,NE
 Eastbound Glenmore Trail after 68 Street SE ,9/9/2023 15:20,SE
 Eastbound Glenmore Trail after 68 Street SE ,9/9/2023 15:20,SE
 Southbound Macleod Trail approaching 86 Avenue SW ,9/9/2023 14:09,SW
 Country Hills Boulevard and Nose Hill Drive NW ,9/9/2023 12:49,NW
 Southbound Deerfoot Trail and Beddington Trail NE ,9/9/2023 11:58,NE
 137 Avenue and Bow Bottom Trail SE ,9/9/2023 10:09,SE
 17 Avenue and 29 Street SW ,9/9/2023 8:44,SW
 Kensington Road and Crowchild Trail NW ,9/9/2023 7:48,NW
 3 Avenue and Parkdale Boulevard NW ,9/9/2023 7:47,NW
 Deerfoot Trail at Cranston Gate SE ,9/9/2023 1:38,SE
 Northbound Deerfoot Trail at Cranston Gate SE ,9/9/2023 1:38,SE
 Northbound Deerfoot Trail at Southland Drive SE ,9/8/2023 22:02,SE
 Westbound Memorial Drive at 52 Street NE ,9/8/2023 19:58,NE
 Westbound Stoney Trail at Cranston Boulevard SE ,9/8/2023 19:41,SE
 60 Street and 88 Avenue NE ,9/8/2023 18:51,NE
 Westbound Canyon Meadows Drive at Lake Fraser Drive SE ,9/8/2023 18:33,SE
 Northbound Macleod Trail approaching 58 Avenue SW ,9/8/2023 18:26,SW
 Harvest Hills Boulevard and Country Hills Road NW ,9/8/2023 18:09,NW
 Centre Street and 19 Avenue N ,9/8/2023 17:52,NE
 Southbound Deerfoot Trail to Bow Bottom Trail SE ,9/8/2023 17:40,SE
 Memorial Drive at Deerfoot Trail SE ,9/8/2023 17:26,SE
 4 Street and 26 Avenue SW ,9/8/2023 17:20,SW
 Northbound Blackfoot Trail approaching Alyth Road SE ,9/8/2023 16:31,SE
 Southbound Deerfoot Trail at Peigan Trail SE ,9/8/2023 16:14,SE
 4 Street and 20 Avenue NW ,9/8/2023 15:43,NW
 104 Avenue and Metis Trail NE ,9/8/2023 15:42,NE
 Bow Trail and 10 Avenue SW ,9/8/2023 14:38,SW
 Southbound Shaganappi Trail south of Country Hills Boulevard NW ,9/8/2023 14:04,NW
 Northbound Shaganappi Trail at Country Hills Boulevard NW ,9/8/2023 14:04,NW
 Shawnessy Drive and Shawnessy Boulevard SW ,9/8/2023 12:06,SW
 16 Avenue and 4 Street NW ,9/8/2023 11:05,NW
 Eastbound Memorial Drive and 10 Street NW ,9/8/2023 8:09,NW
 Riverfront Avenue east of Centre Street S ,9/8/2023 7:30,SE
 Eastbound Glenmore Trail approaching Blackfoot Trail SE ,9/8/2023 6:58,SE
 Eastbound Glenmore Trail approaching Blackfoot Trail SE ,9/8/2023 6:58,SE
 Mt McKenzie Drive and Mt Douglas Close SE ,9/8/2023 5:50,SE
 Symons Valley Py and Evanston Vw NW ,9/7/2023 23:55,NW
 Westbound 16 Avenue and 19 Street NW ,9/7/2023 23:11,NW
 Metis Trail and 104 Avenue NE ,9/7/2023 19:53,NE
 Eastbound Beddington Trail and Hidden Creek Drive NW ,9/7/2023 19:06,NW
 Eastbound Glenmore Trail at Blackfoot Trail SE ,9/7/2023 18:18,SE
 Northbound Stoney Trail approaching 16 Avenue NE ,9/7/2023 18:14,NE
 12 Street and 11 Avenue SE ,9/7/2023 17:33,SE
 Northbound Stoney Trail at 16 Avenue NE ,9/7/2023 16:52,NE
 Sarcee Trail and 34 Avenue NW ,9/7/2023 16:32,NW
 Westbound 130 Avenue after 52 Street SE ,9/7/2023 16:30,SE
 Canyon Meadows Drive and Parkland Boulevard SE ,9/7/2023 16:26,SE
 Northbound Sarcee Trail north of Bow Trail SW ,9/7/2023 16:18,SW
 Eastbound Glenmore Trail approaching 14 Street SW ,9/7/2023 16:07,SW
 Eastbound Glenmore Trail approaching 14 Street SW ,9/7/2023 16:07,SW
 Eastbound Glenmore Trail approaching 14 Street SW ,9/7/2023 16:07,SW
 5 Street and 4 Avenue SW ,9/7/2023 15:46,SW
 64 Avenue at Deerfoot Trail NE ,9/7/2023 15:42,NE
 Northbound Crowchild Trail approaching Bow Trail SW ,9/7/2023 15:37,SW
 Northbound Crowchild Trail approaching Bow Trail SW ,9/7/2023 15:37,SW
 Westbound Bow Trail approaching Old Banff Coach Road SW ,9/7/2023 15:36,SW
 39 Avenue and 26 Street NE ,9/7/2023 14:35,NE
 New Brighton Drive and New Brighton Avenue SE ,9/7/2023 12:18,SE
 Westbound Glenmore Trail ramp onto 5 Street SW ,9/7/2023 11:50,SW
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,9/7/2023 10:40,SE
 24 Street and 162 Avenue SW ,9/7/2023 7:49,SW
 Eastbound Glenmore Trail west of Crowchild Trail SW ,9/7/2023 7:41,SW
 Westbound Glenmore Trail and Macleod Trail SW ,9/7/2023 7:37,SW
 61 Avenue and 48 Street SE ,9/7/2023 7:35,SE
 4 Street and 64 Avenue NE ,9/7/2023 7:12,NE
 Macleod Trail and 99 Avenue SE ,9/7/2023 2:36,SW
 Southbound 4 Street and 16 Avenue SW ,9/6/2023 21:56,SW
 Northbound Sarcee Trail after Bow Trail SW ,9/6/2023 18:37,SW
 Northbound Metis Trail at 88 Avenue NE ,9/6/2023 17:47,NE
 Northbound Metis Trail at 88 Avenue NE ,9/6/2023 17:47,NE
 Westbound Southland Drive after Bonaventure Drive SE ,9/6/2023 17:00,SE
 Centre Street and Northmount Drive NW ,9/6/2023 16:37,NW
 Centre Avenue and Barlow Trail NE ,9/6/2023 16:27,NE
 Eastbound Airport Trail approaching Metis Trail NE ,9/6/2023 16:17,NE
 Eastbound Airport Trail approaching Metis Trail NE ,9/6/2023 16:17,NE
 Eastbound 42 Avenue at Brandon Street SE ,9/6/2023 15:50,SE
 Southbound Deerfoot Trail approaching Memorial Drive NE ,9/6/2023 15:18,NE
 Southbound Deerfoot Trail approaching Memorial Drive NE ,9/6/2023 15:18,NE
 Northbound Deerfoot Trail north of Glenmore Trail SE ,9/6/2023 15:16,SE
 Southbound 52 Street approaching Memorial Drive E ,9/6/2023 15:11,NE
 Southbound 52 Street approaching Memorial Drive E ,9/6/2023 15:11,NE
 Northbound Deerfoot Trail approaching Memorial Drive SE ,9/6/2023 14:35,SE
 Heritage Drive and Heritage Meadows Way SE ,9/6/2023 14:21,SE
 90 Avenue at 14 Street SW ,9/6/2023 14:17,SW
 Castleridge Boulevard and Westwinds Drive NE ,9/6/2023 14:13,NE
 194 Avenue and Belmont Street SW ,9/6/2023 13:59,SW
 Eastbound Glenmore Trail and Deerfoot Trail SE ,9/6/2023 11:54,SE
 3 Street and 5 Avenue SW ,9/6/2023 9:38,SW
 85 Street north of 48 Avenue NW ,9/6/2023 8:54,NW
 Elbow Drive and Windsor Crescent SW ,9/6/2023 8:08,SW
 Southbound Deerfoot Trail south of 32 Avenue NE ,9/6/2023 7:52,NE
 Southbound Deerfoot Trail south of 96 Avenue NE ,9/6/2023 6:57,NE
 Southbound 52 Street and 76 Avenue SE ,9/6/2023 6:51,SE
 52 Street and 76 Avenue SE ,9/6/2023 6:51,SE
 Northbound 52 Street and 114 Avenue SE ,9/6/2023 5:49,SE
 36 Street and 30 Avenue SE ,9/6/2023 4:25,SE
 128 Avenue and Barlow Cr NE ,9/6/2023 3:37,NE
 Northbound Sarcee Trail at Bow Trail SW ,9/5/2023 18:13,SW
 8 Street and 10 Avenue SW ,9/5/2023 18:10,SW
 29 Street and 26 Avenue SW ,9/5/2023 17:58,SW
 Eastbound Glenmore Trail approaching 68 Street SE ,9/5/2023 17:20,SE
 Eastbound John Laurie Boulevard at Nose Hill Drive NW ,9/5/2023 17:09,NW
 Westbound 16 Avenue approaching Deerfoot Trail NE ,9/5/2023 16:58,NE
 Eastbound 16 Avenue after 12 Street NW ,9/5/2023 16:54,NW
 Eastbound 16 Avenue after 12 Street NW ,9/5/2023 16:54,NW
 Eastbound 16 Avenue approaching 19 Street NE ,9/5/2023 16:44,NE
 Eastbound 16 Avenue approaching 19 Street NE ,9/5/2023 16:44,NE
 Westbound Southland Drive at Maplecreek Drive SE ,9/5/2023 16:01,SE
 64 Avenue and Metis Trail NE ,9/5/2023 15:57,NE
 85 Street and 9 Avenue SW ,9/5/2023 14:46,NW
 10 Avenue at 1 Street SE ,9/5/2023 9:30,SE
 Southbound Macleod Trail approaching 36 Avenue SE ,9/5/2023 9:12,NW
 Southbound Macleod Trail approaching 36 Avenue SE ,9/5/2023 9:12,NW
 Southland Drive and Fairmount Drive SE ,9/5/2023 7:46,SE
 Castleridge Boulevard and Westwinds Drive NE ,9/4/2023 22:48,NE
 Rundlehorn Drive and 56 Street NE ,9/4/2023 22:33,NE
 University Drive and 13 Avenue NW ,9/4/2023 20:45,NW
 Harvest Hills Boulevard and South Road NE ,9/4/2023 18:11,NE
 Westbound Memorial Drive approaching 36 Street NE ,9/4/2023 17:32,NE
 Northmount Drive and Connaught Drive NW ,9/4/2023 17:26,NW
 Northbound Nose Hill Drive at Crowchild Trail NW ,9/4/2023 15:55,NW
 85 Street and 17 Avenue SW ,9/4/2023 15:31,SW
 85 Street and Aspenshire Drive SW ,9/4/2023 14:43,SW
 Eastbound Country Hills Boulevard at 112 Avenue NW  ,9/4/2023 13:24,NW
 Edmonton Trail and 36 Avenue NE ,9/4/2023 13:01,NE
 Southbound Centre Street at 4 Avenue SW ,9/4/2023 12:04,SW
 23 Avenue and 4 Street SW ,9/4/2023 8:11,SW
 Deerfoot Trail approaching 32 Avenue NE ,9/4/2023 3:52,NE
 Westbound 16 Avenue approaching 44 Street NW ,9/4/2023 0:12,NW
 16 Avenue between 43 Street and 45 Street NW ,9/4/2023 0:12,NW
 16 Avenue at 44 Street NW ,9/4/2023 0:12,NW
 Evanston Wy and Symons Valley Py NW ,9/3/2023 22:52,NW
 Southbound Deerfoot Trail at 130 Avenue SE ,9/3/2023 18:42,SE
 44 Avenue and Whiteram Wy NE ,9/3/2023 17:43,NE
 Westbound 16 Avenue at Stoney Trail NE ,9/3/2023 17:25,NE
 Westbound 16 Avenue at Stoney Trail NE ,9/3/2023 17:25,NE
 90 Avenue at Bonaventure Drive SE ,9/3/2023 15:57,SE
 Memorial Drive and 36 Street NE ,9/3/2023 14:46,NE
 9 Avenue at 6 Street SE ,9/3/2023 14:40,SE
 Northbound 52 Street at 32 Avenue NE ,9/3/2023 13:19,NE
 Westbound 32 Avenue at 52 Street NE  ,9/3/2023 13:19,NE
 Eastbound Memorial Drive approaching 4 Street NE ,9/3/2023 13:10,NE
 Eastbound Richmond Road after Sarcee Trail SW ,9/3/2023 10:45,SW
 Blackfoot Trail and 19 Street SE ,9/3/2023 10:17,SE
 Russet Road and 8 Avenue NE ,9/3/2023 6:56,NE
 Northbound Barlow Trail and 48 Avenue NE ,9/3/2023 5:37,NE
 Blackfoot Trail and Alyth Road SE ,9/3/2023 5:09,SE
 Southbound Deerfoot Trail after Peigan Trail SE ,9/3/2023 2:22,SE
 7 Avenue and 4 Street SW ,9/2/2023 23:48,SW
 Sage Meadows Gr and Symons Valley Py NW ,9/2/2023 23:32,NW
 18 Avenue between 1 Street and Park Road SE ,9/2/2023 23:19,SE
 11 Avenue between 1 Street and 2 Street SW ,9/2/2023 22:55,SW
 Southbound Memorial Drive approaching Southland Drive SW ,9/2/2023 21:41,SW
 Southbound Macleod Trail approaching Southland Drive SW ,9/2/2023 21:41,SW
 Southbound Macleod Trail approaching Southland Drive SW ,9/2/2023 21:41,SW
 10 Avenue at 16 Street SW ,9/2/2023 19:42,SW
 Centre Street at Northmount Drive NW ,9/2/2023 18:34,NW
 McKnight Boulevard and Falconridge Boulevard NE ,9/2/2023 18:14,NE
 McKnight Boulevard and Falconridge Boulevard NE ,9/2/2023 18:14,NE
 Macleod Trail and 39 Avenue SE ,9/2/2023 18:04,SE
 Hubalta Road and 52 Street SE ,9/2/2023 17:37,SE
 Eastbound Memorial Drive approaching Deerfoot Trail SE ,9/2/2023 16:37,SE
 Northbound Deerfoot Trail approaching 212 Avenue SE ,9/2/2023 16:04,SE
 Southbound Deerfoot Trail at 32 Avenue NE ,9/2/2023 16:00,NE
 Northbound Deerfoot Trail north of Glenmore Trail SE ,9/2/2023 15:38,SE
 10 Street at 5 Avenue NW ,9/2/2023 13:54,NW
 Westbound Memorial Drive at Deerfoot Trail SE ,9/2/2023 11:46,SE
 14 Street and 23 Avenue SW ,9/2/2023 9:44,SW
 68 Street and 8 Avenue NE ,9/2/2023 1:20,NE
 Varsity Drive at Shaganappi Trail NW ,9/1/2023 22:33,NW
 Memorial Drive and 28 Street SE ,9/1/2023 20:44,SE
 Eastbound Memorial Drive at 28 Street SE ,9/1/2023 20:44,SE
 Westbound Country Hills Boulevard at Stoney Trail NE ,9/1/2023 19:05,NE
 Northbound Deerfoot Trail at 64 Avenue NE ,9/1/2023 18:11,NW
 Northbound Deerfoot Trail at 64 Avenue NE ,9/1/2023 18:11,NE
 Eastbound 16 Avenue approaching Barlow Trail NE ,9/1/2023 17:18,NE
 Elbow Drive and 58 Avenue SW ,9/1/2023 17:16,SW
 64 Avenue and Falton Drive NE ,9/1/2023 17:10,NE
 Westbound Glenmore Trail at Blackfoot Trail SE ,9/1/2023 17:08,SE
 Eastbound Stoney Trail at Deerfoot Trail NE  ,9/1/2023 17:03,NE
 Westbound Stoney Trail at Deerfoot Trail NE ,9/1/2023 17:03,NE
 Westbound Stoney Trail at Deerfoot Trail NE ,9/1/2023 17:03,NE
 Northbound Sarcee Trail at Stoney Trail NW ,9/1/2023 17:00,NW
 Macleod Trail at 162 Avenue SE ,9/1/2023 16:23,SE
 Cranston Avenue at Cranberry Road SE ,9/1/2023 16:15,SE
 Southbound Deerfoot Trail at Southland Drive SE ,9/1/2023 16:01,SE
 86 Avenue and Bonaventure Drive SE ,9/1/2023 15:57,SE
 Westbound Glenmore Trail approaching Deerfoot Trail SE ,9/1/2023 15:36,SE
 Eastbound Glenmore Trail at Stoney Trail SE ,9/1/2023 15:34,SE
 Eastbound Glenmore Trail at Stoney Trail SE ,9/1/2023 15:34,SE
 Westbound 11 Avenue at 12 Street SW ,9/1/2023 15:30,SW
 Southbound Elbow Drive at 70 Avenue SW ,9/1/2023 14:46,SW
 Eastbound Glenmore Trail at 52 Street SE ,9/1/2023 14:31,SE
 Deerfoot Trail at 32 Avenue NE ,9/1/2023 14:14,NE
 Symons Valley Road and Symons Valley PY NW ,9/1/2023 13:22,NW
 Northbound Metis Trail and 128 Avenue NE ,9/1/2023 13:15,NE
 Eastbound Bonaventure Drive and Heritage Drive SE ,9/1/2023 12:48,SE
 Richard Road and Flanders Avenue SW ,9/1/2023 11:48,NW
 Westbound Mcknight Boulevard and McCall Wy NE ,9/1/2023 9:41,NE
 28 Street and Memorial Drive SE ,9/1/2023 9:34,SE
 Brentwood Road and Brentwood Pl NW ,9/1/2023 8:55,NW
 Westbound 16 Avenue and Barlow Trail NE ,9/1/2023 8:01,NE
 Northbound Deerfoot Trail and McKnight Boulevard NE ,9/1/2023 6:03,NE
 42 Avenue and 16 Street SE ,9/1/2023 0:03,SE
 5 Avenue approaching Memorial Drive SE ,8/31/2023 23:42,SE
 26 Avenue and 20 Street SW ,8/31/2023 22:24,SW
 Westbound 17 Avenue at 38 Street SE ,8/31/2023 22:11,SE
 5 Avenue approaching 3 Street SE ,8/31/2023 21:39,SE
 Southbound 52 Street at Rundlehorn Drive NE ,8/31/2023 21:07,NE
 Nose Hill Drive and John Laurie Boulevard NW ,8/31/2023 19:39,NW
 Centre Street and Samis Road NE ,8/31/2023 18:33,NE
 16 Avenue and 5 Street NE ,8/31/2023 17:42,NE
 Northbound Crowchild Trail at 17 Avenue SW ,8/31/2023 17:08,SW
 Westbound 4 Avenue approaching Macleod Trail SE ,8/31/2023 17:05,SE
 32 Street and 26 Avenue NE ,8/31/2023 15:14,NE
 Eastbound Glenmore Trail at Elbow Drive SW ,8/31/2023 14:19,SW
 Westbound Hwy 22X at 104 Street SE ,8/31/2023 14:01,NW
 Southbound Crowchild Trail at 24 Avenue NW  ,8/31/2023 13:44,NW
 Westbound Mcknight Boulevard and Trelle Drive NE ,8/31/2023 12:41,NE
 Northbound Deerfoot Trail approaching McKnight Boulevard NE ,8/31/2023 11:48,NE
 Northbound Crowchild Trail and 24 Avenue NW ,8/31/2023 8:21,NW
 12 Avenue and 2 Street SW ,8/31/2023 7:57,SW
 Heritage Drive and Heritage Gate SE ,8/31/2023 4:09,SE
 Beddington Trail and Country Hills Boulevard NW ,8/31/2023 2:22,NW
 Symons Valley Road north of Kincora Boulevard NW ,8/31/2023 1:53,NW
 Westbound Crowchild Trail approaching Shaganappi Trail NW  ,8/31/2023 0:55,NW
 Eastbound Glenmore Trail at Stoney Trail SE ,8/30/2023 21:22,SE
 Eastbound Glenmore Trail at Stoney Trail SE ,8/30/2023 21:22,SE
 Southbound Metis Trail south of 144 Avenue NE  ,8/30/2023 21:03,NE
 3 Street at 5 Avenue SE ,8/30/2023 18:10,SE
 Eastbound 9 Avenue at 6 Street SW ,8/30/2023 17:54,SW
 Eastbound Glenmore Trail at Blackfoot Trail SE ,8/30/2023 16:58,SE
 Southbound Metis Trail after Airport Trail NE ,8/30/2023 16:26,NE
 Westbound Memorial Drive at 19 Street NW ,8/30/2023 16:17,NW
 Memorial Drive and Madigan Drive NE ,8/30/2023 16:04,NE
 128 Avenue and Metis Trail NE ,8/30/2023 15:32,NE
 Southbound Midpark Boulevard at Sun Valley Boulevard SE ,8/30/2023 15:09,SE
 Southbound Macleod Trail and 45 Avenue SW ,8/30/2023 11:55,SW
 Spruce Meadows Trail and 53 Street SW ,8/30/2023 9:14,SW
 Northbound Crowchild Trail and Bow Trail SW ,8/30/2023 8:55,SW
 Northbound Crowchild Trail and 23 Avenue NW ,8/30/2023 7:52,NW
 Southbound Sarcee Trail and John Laurie Boulevard NW ,8/30/2023 7:50,NW
 Eastbound Glenmore Trail and Blackfoot Trail SE ,8/30/2023 7:39,SE
 Southbound Deerfoot Trail after Anderson Road SE ,8/30/2023 6:59,SE
 3 Street south of 5 Avenue SE ,8/29/2023 22:10,SE
 3 Street south of 5 Avenue SE ,8/29/2023 22:10,SE
 Stoney Trail and James McKevitt Road SW ,8/29/2023 21:58,SW
 17 Avenue and 28 Street SW ,8/29/2023 21:44,SW
 24 Avenue and 19 Street NW ,8/29/2023 21:38,NW
 32 Avenue and 29 Street NE ,8/29/2023 18:30,NE
 Northbound Deerfoot Trail after McKnight Blvd  ,8/29/2023 17:54,NE
